SIM,PCA_components,kernel,C,gamma,acc_train,f1_train,prec_train,rec_train,acc_val,f1_val,prec_val,rec_val,acc_test,f1_test,prec_test,rec_test
20,no_pca,rbf,0.1,0.001,0.7554185722807715,0.7431077694235589,0.8002699055330634,0.6935672514619883,0.6735751295336787,0.3225806451612903,0.2631578947368421,0.4166666666666667,0.75,0.6847826086956522,0.5887850467289719,0.8181818181818182
21,no_pca,rbf,0.1,0.01,0.7554185722807715,0.7431077694235589,0.8002699055330634,0.6935672514619883,0.6735751295336787,0.3225806451612903,0.2631578947368421,0.4166666666666667,0.75,0.6847826086956522,0.5887850467289719,0.8181818181818182
22,no_pca,rbf,0.1,0.1,0.7554185722807715,0.7431077694235589,0.8002699055330634,0.6935672514619883,0.6735751295336787,0.3225806451612903,0.2631578947368421,0.4166666666666667,0.75,0.6847826086956522,0.5887850467289719,0.8181818181818182
23,no_pca,rbf,0.1,1,0.7554185722807715,0.7431077694235589,0.8002699055330634,0.6935672514619883,0.6735751295336787,0.3225806451612903,0.2631578947368421,0.4166666666666667,0.75,0.6847826086956522,0.5887850467289719,0.8181818181818182
24,no_pca,rbf,0.01,scale,0.7363292901173195,0.7049399198931909,0.8211508553654744,0.6175438596491228,0.6994818652849741,0.23684210526315788,0.225,0.25,0.7801724137931034,0.7150837988826816,0.6274509803921569,0.8311688311688312
25,no_pca,rbf,0.01,auto,0.7363292901173195,0.7049399198931909,0.8211508553654744,0.6175438596491228,0.6994818652849741,0.23684210526315788,0.225,0.25,0.7801724137931034,0.7150837988826816,0.6274509803921569,0.8311688311688312
26,no_pca,rbf,0.01,0.001,0.7363292901173195,0.7049399198931909,0.8211508553654744,0.6175438596491228,0.6994818652849741,0.23684210526315788,0.225,0.25,0.7801724137931034,0.7150837988826816,0.6274509803921569,0.8311688311688312
27,no_pca,rbf,0.01,0.01,0.7363292901173195,0.7049399198931909,0.8211508553654744,0.6175438596491228,0.6994818652849741,0.23684210526315788,0.225,0.25,0.7801724137931034,0.7150837988826816,0.6274509803921569,0.8311688311688312
28,no_pca,rbf,0.01,0.1,0.7363292901173195,0.7049399198931909,0.8211508553654744,0.6175438596491228,0.6994818652849741,0.23684210526315788,0.225,0.25,0.7801724137931034,0.7150837988826816,0.6274509803921569,0.8311688311688312
29,no_pca,rbf,0.01,1,0.7363292901173195,0.7049399198931909,0.8211508553654744,0.6175438596491228,0.6994818652849741,0.23684210526315788,0.225,0.25,0.7801724137931034,0.7150837988826816,0.6274509803921569,0.8311688311688312
30,no_pca,rbf,0.001,scale,0.48995824219526746,0.0,0.0,0.0,0.8134715025906736,0.0,0.0,0.0,0.6681034482758621,0.0,0.0,0.0
31,no_pca,rbf,0.001,auto,0.48995824219526746,0.0,0.0,0.0,0.8134715025906736,0.0,0.0,0.0,0.6681034482758621,0.0,0.0,0.0
32,no_pca,rbf,0.001,0.001,0.48995824219526746,0.0,0.0,0.0,0.8134715025906736,0.0,0.0,0.0,0.6681034482758621,0.0,0.0,0.0
33,no_pca,rbf,0.001,0.01,0.48995824219526746,0.0,0.0,0.0,0.8134715025906736,0.0,0.0,0.0,0.6681034482758621,0.0,0.0,0.0
34,no_pca,rbf,0.001,0.1,0.48995824219526746,0.0,0.0,0.0,0.8134715025906736,0.0,0.0,0.0,0.6681034482758621,0.0,0.0,0.0
35,no_pca,rbf,0.001,1,0.48995824219526746,0.0,0.0,0.0,0.8134715025906736,0.0,0.0,0.0,0.6681034482758621,0.0,0.0,0.0
36,no_pca,poly,20.0,scale,0.8180552793795983,0.8231200463947419,0.8163343558282209,0.8300194931773879,0.6580310880829016,0.2978723404255319,0.2413793103448276,0.3888888888888889,0.6594827586206896,0.5153374233128835,0.4883720930232558,0.5454545454545454
37,no_pca,poly,20.0,auto,0.8180552793795983,0.8231200463947419,0.8163343558282209,0.8300194931773879,0.6580310880829016,0.2978723404255319,0.2413793103448276,0.3888888888888889,0.6594827586206896,0.5153374233128835,0.4883720930232558,0.5454545454545454
38,no_pca,poly,20.0,0.001,0.8180552793795983,0.8231200463947419,0.8163343558282209,0.8300194931773879,0.6580310880829016,0.2978723404255319,0.2413793103448276,0.3888888888888889,0.6594827586206896,0.5153374233128835,0.4883720930232558,0.5454545454545454
39,no_pca,poly,20.0,0.01,0.8180552793795983,0.8231200463947419,0.8163343558282209,0.8300194931773879,0.6580310880829016,0.2978723404255319,0.2413793103448276,0.3888888888888889,0.6594827586206896,0.5153374233128835,0.4883720930232558,0.5454545454545454
40,no_pca,poly,20.0,0.1,0.8180552793795983,0.8231200463947419,0.8163343558282209,0.8300194931773879,0.6580310880829016,0.2978723404255319,0.2413793103448276,0.3888888888888889,0.6594827586206896,0.5153374233128835,0.4883720930232558,0.5454545454545454
41,no_pca,poly,20.0,1,0.8180552793795983,0.8231200463947419,0.8163343558282209,0.8300194931773879,0.6580310880829016,0.2978723404255319,0.2413793103448276,0.3888888888888889,0.6594827586206896,0.5153374233128835,0.4883720930232558,0.5454545454545454
42,no_pca,poly,10.0,scale,0.8146748856631537,0.8183235867446393,0.8183235867446393,0.8183235867446393,0.6787564766839378,0.32608695652173914,0.26785714285714285,0.4166666666666667,0.7543103448275862,0.6951871657754011,0.5909090909090909,0.8441558441558441
43,no_pca,poly,10.0,auto,0.8146748856631537,0.8183235867446393,0.8183235867446393,0.8183235867446393,0.6787564766839378,0.32608695652173914,0.26785714285714285,0.4166666666666667,0.7543103448275862,0.6951871657754011,0.5909090909090909,0.8441558441558441
44,no_pca,poly,10.0,0.001,0.8146748856631537,0.8183235867446393,0.8183235867446393,0.8183235867446393,0.6787564766839378,0.32608695652173914,0.26785714285714285,0.4166666666666667,0.7543103448275862,0.6951871657754011,0.5909090909090909,0.8441558441558441
45,no_pca,poly,10.0,0.01,0.8146748856631537,0.8183235867446393,0.8183235867446393,0.8183235867446393,0.6787564766839378,0.32608695652173914,0.26785714285714285,0.4166666666666667,0.7543103448275862,0.6951871657754011,0.5909090909090909,0.8441558441558441
46,no_pca,poly,10.0,0.1,0.8146748856631537,0.8183235867446393,0.8183235867446393,0.8183235867446393,0.6787564766839378,0.32608695652173914,0.26785714285714285,0.4166666666666667,0.7543103448275862,0.6951871657754011,0.5909090909090909,0.8441558441558441
