Flow_ID,Duration_s,Total_Packets,Bytes_AB,Bytes_BA,Mean_Pkt_Len,STD_IAT,Kurtosis_IAT,Skewness_Pkt_Len,Direction_Ratio,Label
4037942730875057,0.420902,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
6521569456832000,0.420413,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
752997679614681,0.420903,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
8069721485684005,0.420408,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
8248977585032759,0.421026,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
6617457949732009,0.420705,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2284820932781164,0.413911,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
5905710130562043,0.413580,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
6372843536316810,0.420832,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2869497336824200,0.420355,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
8976350460565650,0.455849,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
691368368611792,0.455177,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
3943020141467974,0.424516,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
1802418619150472,0.424396,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
7738615510450952,0.414755,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
3173135154927243,0.414424,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
9333886295174620,0.421379,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
4296926772895850,0.421045,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
9929111988116549,0.420616,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
3256975046558264,0.420133,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
35436625558319,0.425262,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
720504707517885,0.425127,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
3184769702533564,0.421031,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
8194242248140576,0.420722,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
968713096484450,0.420940,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
5236221566121793,0.420449,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2708175682746916,0.419029,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
6517568819207316,0.418757,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
776596839507726,0.420938,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2278539748319932,0.420441,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
977912501577776,0.421017,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
4063007246385375,0.420708,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
7752104676217250,0.421014,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
9529803348320989,0.420695,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
1510537375559357,0.419907,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
3920798584597276,0.419597,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
